roundnr;stepnr;Player;A;B;C;Total;NULL index;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner;ecset;wormset
1;0;Player 0;60;0;0;0;[0];0;1;TRUE;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;50;0;0;0;;7;0;TRUE;;0;EC:Input:A =50;;;{0, 7};{0}
2;2;Player 0;60;30;0;0;[0];12;0;TRUE;;0;EC:Input:B =30;;;{0, 12, 7};{0}
2;3;Player 1;50;0;0;0;;29;0;TRUE;;0;EC:Resource: Freelancer;;;{0, 12, 29, 7};{0}
3;4;Player 0;60;30;0;-100;[0, 3];22;1;TRUE;;0;EC:Task: T += A+B+C;{' WC Name: T -=100 '};;{0, 7, 12, 22, 29};{0, 4}
3;5;Player 1;50;0;45;0;;18;0;TRUE;;0;EC:Input:C =45;;;{0, 7, 12, 18, 22, 29};{0, 4}
4;6;Player 0;75;30;0;-100;[0, 3];8;0;TRUE;;0;EC:Input:A =75;;;{0, 7, 8, 12, 18, 22, 29};{0, 4}
4;7;Player 1;50;18;45;0;;3;0;TRUE;;0;EC:Input:2 digit number<30;;;{0, 3, 7, 8, 12, 18, 22, 29};{0, 4}
5;8;Player 0;75;10;0;-100;[0, 3];10;0;TRUE;;0;EC:Input:B =10;;;{0, 3, 7, 8, 10, 12, 18, 22, 29};{0, 4}
5;9;Player 1;50;0;0;0;;14;1;TRUE;;0;EC:Input:B =70;"{' WC Name: B,C=0; '}";;{0, 3, 7, 8, 10, 12, 14, 18, 22, 29};{0, 3, 4}
6;10;Player 0;0;-1;0;-100;[0, 3, 2];23;1;TRUE;;0;EC:Task: T = xx9x;{' WC Name: A=0,B=-1,C=N '};;{0, 3, 7, 8, 10, 12, 14, 18, 22, 23, 29};{0, 3, 4, 7}
6;11;Player 1;50;-10;0;0;;2;1;TRUE;;0;EC:Input:2 digit number<90;{' WC Name: B=-10 '};;{0, 2, 3, 7, 8, 10, 12, 14, 18, 22, 23, 29};{0, 3, 4, 7, 8}
7;12;Player 0;0;-1;0;-100;[0, 3, 2, 1];27;2;TRUE;;0;EC:Task: x = 2x ! total;"{' WC Name: B=NULL; ', ' WC Name: C=NULL; '}";;{0, 2, 3, 7, 8, 10, 12, 14, 18, 22, 23, 27, 29};{0, 1, 2, 3, 4, 7, 8}
7;13;Player 1;50;50;0;0;;13;0;TRUE;;0;EC:Input:B =50;;;{0, 2, 3, 7, 8, 10, 12, 13, 14, 18, 22, 23, 27, 29};{0, 1, 2, 3, 4, 7, 8}
8;14;Player 0;47;-1;0;-100;[3, 2, 1];1;1;TRUE;['CPU1Captured'];0;EC:Input:2 digit number<50;{' WC Name: Capture CPU '};;{0, 1, 2, 3, 7, 8, 10, 12, 13, 14, 18, 22, 23, 27, 29};{0, 1, 2, 3, 4, 5, 7, 8}
8;15;Player 1;50;50;2;0;;9;0;TRUE;;0;EC:Input: sum dice of all players;;;{0, 1, 2, 3, 7, 8, 9, 10, 12, 13, 14, 18, 22, 23, 27, 29};{0, 1, 2, 3, 4, 5, 7, 8}
9;16;Player 0;47;-1;0;-100;[3, 2, 1];0;0;FALSE;['CPU1Captured'];1;;;;{0, 1, 2, 3, 7, 8, 9, 10, 12, 13, 14, 18, 22, 23, 27, 29};{0, 1, 2, 3, 4, 5, 7, 8}
9;17;Player 1;50;50;2;150;;26;2;TRUE;;0;EC:Task: T += B+(2*A);;Player 1;{0, 1, 2, 3, 7, 8, 9, 10, 12, 13, 14, 18, 22, 23, 26, 27, 29};{0, 1, 2, 3, 4, 5, 7, 8}
1;0;Player 0;42;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;[2];21;1;True;;0;EC:Task: T = A*B;"{' WC Name: C=NULL; '}";;{0, 21};{0, 2}
2;2;Player 0;5;0;0;0;[0];4;0;True;;0;EC:Input:A =5;;;{0, 4, 21};{0, 2}
2;3;Player 1;0;-10;0;0;[2];20;1;True;;0;EC:Task: T += A+B;{' WC Name: B=-10 '};;{0, 20, 4, 21};{0, 8, 2}
3;4;Player 0;75;0;0;0;[0];8;0;True;;0;EC:Input:A =75;;;{0, 4, 8, 20, 21};{0, 8, 2}
3;5;Player 1;0;-10;-20;0;;1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: C=-20 '};;{0, 1, 4, 8, 20, 21};{0, 8, 2, 9}
4;6;Player 0;25;0;0;0;[0];6;0;True;;0;EC:Input:A =25;;;{0, 1, 4, 6, 8, 20, 21};{0, 8, 2, 9}
4;7;Player 1;0;-10;2;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 1, 3, 4, 6, 8, 20, 21};{0, 8, 2, 9}
5;8;Player 0;50;0;0;0;[0];7;0;True;;0;EC:Input:A =50;;;{0, 1, 3, 4, 6, 7, 8, 20, 21};{0, 8, 2, 9}
5;9;Player 1;0;70;2;0;;14;1;True;['CPU1Captured'];0;EC:Input:B =70;{' WC Name: Capture CPU '};;{0, 1, 3, 4, 6, 7, 8, 14, 20, 21};{0, 2, 5, 8, 9}
