roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;"Winner	ecset";wormset;
1;0;Player 0;84;0;0;0;[0];0;1;TRUE;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;;33;0;TRUE;;0;EC:Resource: Restart;;;{0, 33};{0}
2;2;Player 0;84;0;0;0;[0, 3];22;1;TRUE;;0;EC:Task: T += A+B+C;"{' WC Name: B,C=0; '}";;{0, 33, 22};{0, 3}
2;3;Player 1;0;0;0;0;;32;0;TRUE;;0;EC:Resource: Restart;;;{0, 33, 32, 22};{0, 3}
3;4;Player 0;75;0;0;0;[3];8;0;TRUE;;0;EC:Input:A =75;;;{0, 33, 32, 8, 22};{0, 3}
3;5;Player 1;25;0;0;0;;6;0;TRUE;;0;EC:Input:A =25;;;{0, 33, 32, 6, 8, 22};{0, 3}
4;6;Player 0;75;0;-20;0;[3];26;2;TRUE;;0;EC:Task: T += B+((2*)A);{' WC Name: T =xx00 ', ' WC Name: C=-20 '};;{0, 33, 32, 6, 8, 22, 26};{0, 9, 3, 6}
4;7;Player 1;25;56;0;0;[1];2;1;TRUE;;0;EC:Input:2 digit number<90;"{' WC Name: B=NULL; '}";;{0, 33, 32, 2, 6, 8, 22, 26};{0, 1, 3, 6, 9}
5;8;Player 0;75;0;6;0;[3];9;0;TRUE;;0;EC:Input: sum dice of all players;;;{0, 33, 32, 2, 6, 8, 9, 22, 26};{0, 1, 3, 6, 9}
5;9;Player 1;25;-10;0;0;[3, 2];25;2;TRUE;;0;EC:Task: T += sum all;"{' WC Name: B=-10 ', ' WC Name: C=NULL; '}";;{0, 33, 32, 2, 6, 8, 9, 22, 25, 26};{0, 1, 2, 3, 6, 8, 9}
6;10;Player 0;75;17;6;0;[3];3;0;TRUE;;0;EC:Input:2 digit number<30;;;{0, 33, 32, 2, 3, 6, 8, 9, 22, 25, 26};{0, 1, 2, 3, 6, 8, 9}
6;11;Player 1;50;-10;0;0;[3, 2];7;0;TRUE;;0;EC:Input:A =50;;;{0, 33, 32, 2, 3, 6, 7, 8, 9, 22, 25, 26};{0, 1, 2, 3, 6, 8, 9}
