roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;48;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;25;0;;17;0;True;;0;EC:Input:C =25;;;{0, 17};{0}
2;2;Player 0;0;-1;75;0;[2];19;1;True;;0;EC:Input:C =75;{' WC Name: A=0,B=-1,C=N '};;{0, 17, 19};{0, 7}
2;3;Player 1;0;0;25;0;;32;0;True;;0;EC:Resource: Restart;;;{0, 17, 32, 19};{0, 7}
3;4;Player 0;25;-1;75;0;[2];6;0;True;;0;EC:Input:A =25;;;{0, 32, 6, 17, 19};{0, 7}
3;5;Player 1;0;0;25;-100;;20;1;True;;0;aEC:Task: T += A+B;{' WC Name: T -=100 '};;{0, 32, 6, 17, 19, 20};{0, 4, 7}
4;6;Player 0;25;-1;14;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 32, 3, 6, 17, 19, 20};{0, 4, 7}
4;7;Player 1;0;0;25;-100;;33;0;True;;0;EC:Resource: Restart;;;{0, 32, 33, 3, 6, 17, 19, 20};{0, 4, 7}
5;8;Player 0;25;-1;-20;9;;23;1;True;;0;EC:Task: T = xx9x;{' WC Name: C=-20 '};;{0, 33, 32, 3, 6, 17, 19, 20, 23};{0, 9, 4, 7}
5;9;Player 1;0;20;25;-100;;11;0;True;;0;EC:Input:B =20;;;{0, 33, 32, 3, 6, 11, 17, 19, 20, 23};{0, 9, 4, 7}
6;10;Player 0;25;-1;-20;0;;25;2;True;['CPU1Captured'];0;EC:Task: T += sum all;{' WC Name: T =xx00 ', ' WC Name: Capture CPU '};;{0, 33, 32, 3, 6, 11, 17, 19, 20, 23, 25};{0, 4, 5, 6, 7, 9}
6;11;Player 1;57;20;25;-100;[1];2;1;True;;0;EC:Input:2 digit number<90;"{' WC Name: B=NULL; '}";;{0, 33, 32, 3, 2, 6, 11, 17, 19, 20, 23, 25};{0, 1, 4, 5, 6, 7, 9}
7;12;Player 0;25;-1;-20;0;;0;0;False;['CPU1Captured'];1;;;;{0, 33, 32, 3, 2, 6, 11, 17, 19, 20, 23, 25};{0, 1, 4, 5, 6, 7, 9}
7;13;Player 1;57;20;25;-100;[1, 2];21;1;True;;0;EC:Task: T = A(*)+B;"{' WC Name: C=NULL; '}";;{0, 33, 32, 3, 2, 6, 11, 17, 19, 20, 21, 23, 25};{0, 1, 2, 4, 5, 6, 7, 9}
8;14;Player 0;25;-1;-20;0;;0;0;False;['CPU1Captured'];2;;;;{0, 33, 32, 3, 2, 6, 11, 17, 19, 20, 21, 23, 25};{0, 1, 2, 4, 5, 6, 7, 9}
8;15;Player 1;57;-10;25;-100;[2];14;1;True;;0;EC:Input:B =70;{' WC Name: B=-10 '};;{0, 33, 32, 3, 2, 6, 11, 14, 17, 19, 20, 21, 23, 25};{0, 1, 2, 4, 5, 6, 7, 8, 9}
9;16;Player 0;25;50;-20;0;;13;0;True;;0;EC:Input:B =50;;;{0, 33, 32, 3, 2, 6, 11, 13, 14, 17, 19, 20, 21, 23, 25};{0, 1, 2, 4, 5, 6, 7, 8, 9}
9;17;Player 1;57;0;0;-100;[3];26;2;True;;0;EC:Task: T += B+((2*)A);"{' WC Name: B,C=0; '}";;{0, 33, 32, 3, 2, 6, 11, 13, 14, 17, 19, 20, 21, 23, 25, 26};{3}
10;18;Player 0;25;30;-20;0;;12;0;True;;0;EC:Input:B =30;;;{0, 33, 32, 3, 2, 6, 11, 12, 13, 14, 17, 19, 20, 21, 23, 25, 26};{3}
10;19;Player 1;57;5;0;-100;[3];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 33, 32, 3, 2, 6, 9, 11, 12, 13, 14, 17, 19, 20, 21, 23, 25, 26};{3}
11;20;Player 0;25;30;-20;0;;31;0;True;;0;EC:Resource: Restart;;;{0, 2, 3, 6, 9, 11, 12, 13, 14, 17, 19, 20, 21, 23, 25, 26, 31, 32, 33};{3}
11;21;Player 1;57;5;5;-100;[3];15;0;True;;0;EC:Input:C =5;;;{0, 2, 3, 6, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 23, 25, 26, 31, 32, 33};{3}
12;22;Player 0;25;30;-20;35;[0];22;1;True;;0;EC:Task: T += A+B+C;"{' WC Name: A=NULL; '}";;{0, 2, 3, 6, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 31, 32, 33};{0, 3}
12;23;Player 1;57;5;-20;-100;[3];27;2;True;['CPU1Captured'];0;EC:Task: x = 2x ! total;{' WC Name: C=-20 ', ' WC Name: Capture CPU '};;{0, 2, 3, 6, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 33};{0, 9, 3, 5}
13;24;Player 0;10;30;-20;35;;5;0;True;;0;EC:Input:A =10;;;{0, 2, 3, 5, 6, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 33};{0, 9, 3, 5}
13;25;Player 1;57;5;-20;-100;[3];0;0;False;['CPU1Captured'];1;;;;{0, 2, 3, 5, 6, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 33};{0, 9, 3, 5}
14;26;Player 0;10;30;35;35;[2];1;1;True;;0;EC:Input:2 digit number<50;"{' WC Name: C=NULL; '}";;{0, 1, 2, 3, 5, 6, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 33};{0, 2, 3, 5, 9}
14;27;Player 1;57;5;-20;-100;[3];0;0;False;['CPU1Captured'];2;;;;{0, 1, 2, 3, 5, 6, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 33};{0, 2, 3, 5, 9}
15;28;Player 0;75;30;35;35;[2];8;0;True;;0;EC:Input:A =75;;;{0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 33};{0, 2, 3, 5, 9}
15;29;Player 1;5;5;-20;-100;[3];4;0;True;;0;EC:Input:A =5;;;{0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 27, 31, 32, 33};{0, 2, 3, 5, 9}
