roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;97;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;70;0;-100;;14;1;True;;0;EC:Input:B =70;{' WC Name: T -=100 '};;{0, 14};{0, 4}
2;2;Player 0;97;0;0;0;[0, 3];22;1;True;['CPU1Captured'];0;EC:Task: T += A+B+C;{' WC Name: Capture CPU '};;{0, 14, 22};{0, 4, 5}
2;3;Player 1;0;-10;75;-100;;19;1;True;;0;EC:Input:C =75;{' WC Name: B=-10 '};;{0, 19, 14, 22};{0, 8, 4, 5}
3;4;Player 0;97;0;0;0;[0, 3];0;0;False;['CPU1Captured'];1;;;;{0, 19, 14, 22};{0, 8, 4, 5}
3;5;Player 1;0;-10;75;-100;;29;0;True;;0;EC:Resource: Freelancer;;;{0, 14, 19, 22, 29};{0, 8, 4, 5}
4;6;Player 0;97;0;0;0;[0, 3];0;0;False;['CPU1Captured'];2;;;;{0, 14, 19, 22, 29};{0, 8, 4, 5}
4;7;Player 1;50;-10;75;-100;;7;0;True;;0;EC:Input:A =50;;;{0, 7, 14, 19, 22, 29};{0, 8, 4, 5}
5;8;Player 0;97;0;0;0;[0, 3, 1];21;1;True;;0;EC:Task: T = A*B;"{' WC Name: B=NULL; '}";;{0, 7, 14, 19, 21, 22, 29};{0, 1, 4, 5, 8}
5;9;Player 1;50;-10;75;-100;;28;0;True;;0;EC:Resource: Restart;;;{0, 7, 14, 19, 21, 22, 28, 29};{0, 1, 4, 5, 8}
6;10;Player 0;75;0;0;0;[0, 3, 1];8;0;True;;0;EC:Input:A =75;;;{0, 7, 8, 14, 19, 21, 22, 28, 29};{0, 1, 4, 5, 8}
6;11;Player 1;50;-10;75;0;;1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: T =xx00 '};;{0, 1, 7, 8, 14, 19, 21, 22, 28, 29};{0, 1, 4, 5, 6, 8}
7;12;Player 0;75;0;5;0;[0, 3, 1];15;0;True;;0;EC:Input:C =5;;;{0, 1, 7, 8, 14, 15, 19, 21, 22, 28, 29};{0, 1, 4, 5, 6, 8}
7;13;Player 1;50;-10;75;9;[2];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: C=NULL; '}";;{0, 1, 7, 8, 14, 15, 19, 21, 22, 23, 28, 29};{0, 1, 2, 4, 5, 6, 8}
8;14;Player 0;75;0;5;0;[0, 3, 1];30;0;True;;0;EC:Resource: Bazar;;;{0, 1, 7, 8, 14, 15, 19, 21, 22, 23, 28, 29, 30};{0, 1, 2, 4, 5, 6, 8}
8;15;Player 1;0;-1;-20;9;[2, 3];26;2;True;;0;EC:Task: T += B+(2*A);{' WC Name: A=0,B=-1,C=N ', ' WC Name: C=-20 '};;{0, 1, 7, 8, 14, 15, 19, 21, 22, 23, 26, 28, 29, 30};{0, 1, 2, 4, 5, 6, 7, 8, 9}
9;16;Player 0;10;0;5;0;[0, 3, 1];5;0;True;;0;EC:Input:A =10;;;{0, 1, 5, 7, 8, 14, 15, 19, 21, 22, 23, 26, 28, 29, 30};{0, 1, 2, 4, 5, 6, 7, 8, 9}
9;17;Player 1;0;-1;25;9;[2, 3];17;0;True;;0;EC:Input:C =25;;;{0, 1, 5, 7, 8, 14, 15, 17, 19, 21, 22, 23, 26, 28, 29, 30};{0, 1, 2, 4, 5, 6, 7, 8, 9}
10;18;Player 0;10;0;0;0;[0, 3, 1];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: B,C=0; '}";;{0, 1, 5, 7, 8, 14, 15, 17, 19, 21, 22, 23, 25, 26, 28, 29, 30};{3}
10;19;Player 1;0;-1;34;9;[3, 0];2;1;True;;0;EC:Input:2 digit number<90;"{' WC Name: A=NULL; '}";;{0, 1, 2, 5, 7, 8, 14, 15, 17, 19, 21, 22, 23, 25, 26, 28, 29, 30};{0, 3}
11;20;Player 0;2;0;0;0;[3, 1];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 1, 2, 5, 7, 8, 9, 14, 15, 17, 19, 21, 22, 23, 25, 26, 28, 29, 30};{0, 3}
11;21;Player 1;0;-1;15;9;[3, 0];16;0;True;;0;EC:Input:C =15;;;{0, 1, 2, 5, 7, 8, 9, 14, 15, 16, 17, 19, 21, 22, 23, 25, 26, 28, 29, 30};{0, 3}
12;22;Player 0;2;0;0;0;[3, 1];24;2;True;['CPU1Captured'];0;EC:Task: T += sum all/2;{' WC Name: Capture CPU ', ' WC Name: T =xx00 '};;{0, 1, 2, 5, 7, 8, 9, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 28, 29, 30};{0, 3, 5, 6}
12;23;Player 1;0;-1;-20;9;[3, 0, 1];27;2;True;;0;EC:Task: x = 2x ! total;"{' WC Name: C=-20 ', ' WC Name: B=NULL; '}";;{0, 1, 2, 5, 7, 8, 9, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 1, 3, 5, 6, 9}
13;24;Player 0;2;0;0;0;[3, 1];0;0;False;['CPU1Captured'];1;;;;{0, 1, 2, 5, 7, 8, 9, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 1, 3, 5, 6, 9}
13;25;Player 1;25;-1;-20;9;[3, 0, 1];6;0;True;;0;EC:Input:A =25;;;{0, 1, 2, 5, 6, 7, 8, 9, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 1, 3, 5, 6, 9}
14;26;Player 0;2;0;0;0;[3, 1];0;0;False;['CPU1Captured'];2;;;;{0, 1, 2, 5, 6, 7, 8, 9, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 1, 3, 5, 6, 9}
14;27;Player 1;25;20;-20;9;[3, 0, 1];11;0;True;;0;EC:Input:B =20;;;{0, 1, 2, 5, 6, 7, 8, 9, 11, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 1, 3, 5, 6, 9}
